archiveID,url,verdict,detail
1911-a-victim-of-the-mormons,https://archivewatch.org/subs/1911-a-victim-of-the-mormons/en.vtt,ok,30 cues
0985-chase-dance-07-june-20,https://archivewatch.org/subs/0985-chase-dance-07-june-20/en.vtt,short,4 cues
Nuremberg,https://archivewatch.org/subs/Nuremberg/en.vtt,ok,733 cues
1974.10.13-wkbw-frank-sinatra-the-main-event-1977.04.24-wkbw-sinatra-a,https://archivewatch.org/subs/1974.10.13-wkbw-frank-sinatra-the-main-event-1977.04.24-wkbw-sinatra-a/en.vtt,short,1 cues
the-greene-murder-case-1929,https://archivewatch.org/subs/the-greene-murder-case-1929/en.vtt,ok,1416 cues
1937-10-04_Hoover_Blasts_Parole_Boards,https://archivewatch.org/subs/1937-10-04_Hoover_Blasts_Parole_Boards/en.vtt,ok,9 cues
jsc2019m000619_Biomining_in_Space-MXF,https://archivewatch.org/subs/jsc2019m000619_Biomining_in_Space-MXF/en.vtt,ok,16 cues
sedermasochism,https://archivewatch.org/subs/sedermasochism/en.vtt,ok,864 cues
WhyWeFight2TheNazisStrike,https://archivewatch.org/subs/WhyWeFight2TheNazisStrike/en.vtt,ok,570 cues
1951thegirlonthebridgehugohass,https://archivewatch.org/subs/1951thegirlonthebridgehugohass/en.vtt,ok,937 cues
the-bedford-incident-1965_202006,https://archivewatch.org/subs/the-bedford-incident-1965_202006/en.vtt,ok,1247 cues
the-milky-way-1936,https://archivewatch.org/subs/the-milky-way-1936/en.vtt,ok,1849 cues
scream-of-fear,https://archivewatch.org/subs/scream-of-fear/en.vtt,ok,973 cues
mummy-s-ghost-1944,https://archivewatch.org/subs/mummy-s-ghost-1944/en.vtt,ok,728 cues
no-more-orchids-1932,https://archivewatch.org/subs/no-more-orchids-1932/en.vtt,ok,1025 cues
gods-little-acre-1958,https://archivewatch.org/subs/gods-little-acre-1958/en.vtt,ok,1462 cues
horror-rises-from-the-tomb-1973,https://archivewatch.org/subs/horror-rises-from-the-tomb-1973/en.vtt,ok,552 cues
the-scarlet-clue-1945-dvd-mkv,https://archivewatch.org/subs/the-scarlet-clue-1945-dvd-mkv/en.vtt,ok,1261 cues
time-without-pity-1957_202506,https://archivewatch.org/subs/time-without-pity-1957_202506/en.vtt,ok,1318 cues
step-down-to-terror-1958,https://archivewatch.org/subs/step-down-to-terror-1958/en.vtt,ok,1514 cues
david-and-goliath-1960,https://archivewatch.org/subs/david-and-goliath-1960/en.vtt,empty,no cue timestamps
too-many-husbands-1940,https://archivewatch.org/subs/too-many-husbands-1940/en.vtt,ok,1199 cues
tobor-the-great-1954-colorized-movie-720p-hd,https://archivewatch.org/subs/tobor-the-great-1954-colorized-movie-720p-hd/en.vtt,ok,898 cues
TheJohnsHopkinsScienceReview-TheMasterGlassBlower1951,https://archivewatch.org/subs/TheJohnsHopkinsScienceReview-TheMasterGlassBlower1951/en.vtt,ok,369 cues
